"","PlaceID","id","Governroate","District.x","Sub.District","Area","Place.x","sites.Religious.Buildings","sites.Unfinished.Buildings","sites.Open.Air","families.Religious.Buildings","families.Unfinished.Buildings","families.Open.Air","dtmfam.Religious.Buildings","dtmfam.Unfinished.Buildings","diff.Religious.Buildings","diff.Unfinished.Buildings","totalsites","totalfamilies","familysite","class.totalsites","class.familysite","Governorate","District.y","Place.y","Longitude","Latitude","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air","class.family.fixed","class.quartile"
"52",17776,84,"Ninewa","Akre","Bijil","Bijil","Bijil",NA,20,NA,NA,107,NA,25,150,-25,-43,20,107,5.35,1,1,"Ninewa","Akre","Bjil",44.01,36.72,"Disputed Territories",1326,221,0,0,0,642,0,0,0,0,684,642,642,354,330,0,642,0,0,"100-249","(870,5.42e+04]"
"53",17802,88,"Ninewa","Akre","Grdaseen","Grdaseen","Grdaseen",11,46,NA,170,180,NA,100,600,70,-420,57,350,6.14035087719298,2,1,"Ninewa","Akre","Grdasin",43.8,36.65,"Disputed Territories",4914,819,0,0,1020,1080,0,0,0,0,2814,2100,2100,1380,1434,1020,1080,0,0,"500-2000","(870,5.42e+04]"
"54",17868,97,"Ninewa","Al-Shikhan","Qasrook","Mala Brwan","Mala Brwan",1,35,NA,7,142,NA,NA,NA,7,142,36,149,4.13888888888889,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",17981,100,"Ninewa","Al-Shikhan","Zelkan","Zelkan","Zelkan City Centre",4,34,NA,27,165,NA,NA,NA,27,165,38,192,5.05263157894737,2,1,"Ninewa","Al-Shikhan","Zelkan",43.35,36.521,"Disputed Territories",1818,303,0,24,162,600,0,0,0,0,1032,786,762,762,270,162,600,24,0,"250-499","(870,5.42e+04]"
"56",18058,96,"Ninewa","Al-Shikhan","Qasrook","Kalakchi","Kalakchi",10,15,NA,96,200,NA,137,150,-41,50,25,296,11.84,1,1,"Ninewa","Al-Shikhan","Kalakchi",43.52,36.58,"Disputed Territories",6756,1126,0,900,822,2058,0,0,0,0,2976,3780,3780,2040,936,822,2058,900,0,"500-2000","(870,5.42e+04]"
"57",18199,98,"Ninewa","Al-Shikhan","Qasrook","Qasrook","Qasrook City Centre",NA,12,NA,NA,103,NA,0,170,0,-67,12,103,8.58333333333333,1,1,"Ninewa","Al-Shikhan","Qasrok",43.6,36.69,"Disputed Territories",5028,838,0,1020,600,2400,0,0,0,0,1008,4020,4020,1008,0,600,2400,1020,0,"500-2000","(870,5.42e+04]"
"58",20980,65,"Erbil","Erbil","Ankawa","Ankawa","Ainkawa (108)",NA,1,NA,NA,148,NA,0,0,0,148,1,148,148,1,4,"Erbil","Erbil","Ainkawa (108)",43.98,36.245,"KRI",1380,230,0,0,0,0,0,0,0,0,1380,0,0,780,600,0,0,0,0,"100-249","(870,5.42e+04]"
"59",21008,95,"Ninewa","Al-Shikhan","Qasrook","Chira","Chira",NA,42,NA,NA,175,NA,0,0,0,175,42,175,4.16666666666667,2,1,"Ninewa","Al-Shikhan","Chira",43.52431,36.63643,"Disputed Territories",1842,307,0,48,0,420,0,0,0,0,1374,468,420,1200,174,0,420,48,0,"250-499","(870,5.42e+04]"
"60",21186,47,"Dahuk","Zakho","City Centre","City Centre","Semalka",NA,12,NA,NA,154,NA,NA,NA,0,154,12,154,12.8333333333333,1,1,"Dahuk","Zakho","SEMALKA",42.68336,37.15148,"KRI",3666,611,0,2562,0,924,0,0,0,0,180,3486,3486,180,0,0,924,2562,0,"500-2000","(870,5.42e+04]"
"61",21187,43,"Dahuk","Zakho","City Centre","City Centre","Firqa",NA,100,NA,NA,421,NA,120,527,-120,-106,100,421,4.21,3,1,"Dahuk","Zakho","FIRQA",42.7064,37.16008,"KRI",14262,2377,0,3810,0,6924,0,0,0,0,3528,10734,10734,1608,1920,0,6924,3810,0,">2000","(870,5.42e+04]"
